contest_name,crownAmount,gameType,id,entry_fee,entry_max,prizeAmount,start_time,total_entries,max_total_entries,draft_group,entry_fee_to_total_prize_ratio
NBA $35K And-One [20 Entry Max],550,Classic,117487691,1,20,35000,Thu 7:00PM,41,41617,58853,35000
NBA $425K Fadeaway [$100K to 1st],8250,Classic,117487697,15,150,425000,Thu 7:00PM,21,33333,58853,28333.3333333333
"NBA $80K Four Point Play [$5K Bonus Blast, 20 Entry Max]",2200,Classic,117487693,4,20,80000,Thu 7:00PM,18,23781,58853,20000
NBA $15K And-One (Night),550,Classic,117392695,1,20,15000,Wed 10:00PM,14691,17835,58799,15000
NBA $12.5K And-One (Night),550,Classic,117485762,1,20,12500,Thu 10:00PM,25,14863,58859,12500
NBA $150K Fadeaway [$50K to 1st] (Night),8250,Classic,117406394,15,150,150000,Wed 10:00PM,8211,11764,58799,10000
NBA $10K mini-MAX [150 Entry Max],1100,Classic,117485684,2,150,10000,Thu 7:00PM,3,5945,58853,5000
NBA $22K Zone [$5K to 1st],2750,Classic,117487698,5,150,22000,Thu 7:00PM,0,5231,58853,4400
NBA $26K Jab Step [$5K to 1st] (Night),3300,Classic,117406395,6,150,26000,Wed 10:00PM,3098,5098,58799,4333.33333333333
NBA $26K Jab Step [$5K to 1st],3300,Classic,117487700,6,150,26000,Thu 7:00PM,4,5098,58853,4333.33333333333
NBA $4K And-One (Night),550,Classic,117489570,1,20,4000,Wed 10:00PM,458,4756,58799,4000
NBA $2 Double Up,1100,Classic,117485711,2,20,8000,Thu 7:00PM,1,4597,58853,4000
NBA $30K Excellent 8's [2x Min Cash],4400,Classic,117487699,8,132,30000,Thu 7:00PM,0,4411,58853,3750
NBA $10K Hot Shot [3 Entry Max],1650,Classic,117485683,3,3,10000,Thu 7:00PM,3,3963,58853,3333.33333333333
NBA $10K Sharpshooter,1650,Classic,117487689,3,20,10000,Thu 7:00PM,2,3963,58853,3333.33333333333
NBA $10K Four Point Play [20 Entry Max] (Night),2200,Classic,117392694,4,20,10000,Wed 10:00PM,1949,2972,58799,2500
NBA $2K And-One (Turbo),550,Classic,117485738,1,20,2000,Thu 7:30PM,14,2378,58857,2000
NBA $5 Double Up,2750,Classic,117485709,5,55,8000,Thu 7:00PM,1,1839,58853,1600
NBA $15K Pull Up Jumper [$5K to 1st] (Turbo),5500,Classic,117485741,10,52,15000,Thu 7:30PM,4,1764,58857,1500
NBA $5K Four Point Play [20 Entry Max] (Night),2200,Classic,117485761,4,20,5000,Thu 10:00PM,0,1486,58859,1250
